-0.729	-0.676
-0.729	0.676
-0.728	-0.677
-0.728	0.677
-0.727	-0.678
-0.727	0.678
-0.726	-0.679
-0.726	0.679
-0.725	-0.68
-0.725	0.68
-0.724	-0.681
-0.724	0.681
-0.723	-0.682
-0.723	0.682
-0.722	-0.683
-0.722	0.683
-0.721	-0.684
-0.721	0.684
-0.72	-0.685
-0.72	0.685
-0.719	-0.686
-0.719	0.686
-0.718	-0.687
-0.718	0.687
-0.717	-0.688
-0.717	0.688
-0.716	-0.689
-0.716	0.689
-0.715	-0.69
-0.715	0.69
-0.714	-0.691
-0.714	0.691
-0.713	-0.692
-0.713	0.692
-0.712	-0.693
-0.712	0.693
-0.711	-0.694
-0.711	0.694
-0.71	-0.695
-0.71	0.695
-0.709	-0.696
-0.709	0.696
-0.708	-0.697
-0.708	0.697
-0.707	-0.698
-0.707	0.698
-0.706	-0.699
-0.706	0.699
-0.705	-0.7
-0.705	0.7
-0.704	-0.701
-0.704	0.701
-0.703	-0.702
-0.703	0.702
-0.702	-0.703
-0.702	0.703
-0.701	-0.704
-0.701	0.704
-0.7	-0.705
-0.7	0.705
-0.699	-0.706
-0.699	0.706
-0.698	-0.707
-0.698	0.707
-0.697	-0.708
-0.697	0.708
-0.696	-0.709
-0.696	0.709
-0.695	-0.71
-0.695	0.71
-0.694	-0.711
-0.694	0.711
-0.693	-0.712
-0.693	0.712
-0.692	-0.713
-0.692	0.713
-0.691	-0.714
-0.691	0.714
-0.69	-0.715
-0.69	0.715
-0.689	-0.716
-0.689	0.716
-0.688	-0.717
-0.688	0.717
-0.687	-0.718
-0.687	0.718
-0.686	-0.719
-0.686	0.719
-0.685	-0.72
-0.685	0.72
-0.684	-0.721
-0.684	0.721
-0.683	-0.722
-0.683	0.722
-0.682	-0.723
-0.682	0.723
-0.681	-0.724
-0.681	0.724
-0.68	-0.725
-0.68	0.725
-0.679	-0.726
-0.679	0.726
-0.678	-0.727
-0.678	0.727
-0.677	-0.728
-0.677	0.728
-0.676	-0.729
-0.676	0.729
-0.675	-0.73
-0.675	0.73
-0.674	-0.731
-0.674	0.731
-0.673	-0.732
-0.673	0.732
-0.672	-0.733
-0.672	0.733
-0.671	-0.734
-0.671	0.734
-0.67	-0.735
-0.67	0.735
-0.669	-0.736
-0.669	0.736
-0.668	-0.737
-0.668	0.737
-0.667	-0.738
-0.667	0.738
-0.666	-0.739
-0.666	-0.738
-0.666	0.738
-0.666	0.739
-0.665	-0.739
-0.665	0.739
-0.664	-0.74
-0.664	0.74
-0.663	-0.741
-0.663	0.741
-0.662	-0.742
-0.662	-0.741
-0.662	0.741
-0.662	0.742
-0.661	-0.742
-0.661	0.742
-0.66	-0.743
-0.66	0.743
-0.659	-0.744
-0.659	-0.743
-0.659	0.743
-0.659	0.744
-0.658	-0.744
-0.658	0.744
-0.657	-0.745
-0.657	0.745
-0.656	-0.746
-0.656	0.746
-0.655	-0.747
-0.655	-0.746
-0.655	0.746
-0.655	0.747
-0.654	-0.747
-0.654	0.747
-0.653	-0.748
-0.653	0.748
-0.652	-0.749
-0.652	-0.748
-0.652	0.748
-0.652	0.749
-0.651	-0.749
-0.651	0.749
-0.65	-0.75
-0.65	0.75
-0.649	-0.751
-0.649	0.751
-0.648	-0.752
-0.648	-0.751
-0.648	0.751
-0.648	0.752
-0.647	-0.752
-0.647	0.752
-0.646	-0.753
-0.646	0.753
-0.645	-0.754
-0.645	-0.753
-0.645	0.753
-0.645	0.754
-0.644	-0.754
-0.644	0.754
-0.643	-0.755
-0.643	0.755
-0.642	-0.756
-0.642	0.756
-0.641	-0.757
-0.641	-0.756
-0.641	0.756
-0.641	0.757
-0.64	-0.757
-0.64	0.757
-0.639	-0.758
-0.639	0.758
-0.638	-0.759
-0.638	-0.758
-0.638	0.758
-0.638	0.759
-0.637	-0.759
-0.637	0.759
-0.636	-0.76
-0.636	0.76
-0.635	-0.761
-0.635	0.761
-0.634	-0.762
-0.634	-0.761
-0.634	0.761
-0.634	0.762
-0.633	-0.762
-0.633	0.762
-0.632	-0.763
-0.632	0.763
-0.631	-0.764
-0.631	-0.763
-0.631	0.763
-0.631	0.764
-0.63	-0.764
-0.63	0.764
-0.629	-0.765
-0.629	0.765
-0.628	-0.766
-0.628	0.766
-0.627	-0.767
-0.627	-0.766
-0.627	0.766
-0.627	0.767
-0.626	-0.767
-0.626	0.767
-0.625	-0.768
-0.625	0.768
-0.624	-0.769
-0.624	-0.768
-0.624	0.768
-0.624	0.769
-0.623	-0.769
-0.623	0.769
-0.622	-0.77
-0.622	0.77
-0.621	-0.771
-0.621	0.771
-0.62	-0.772
-0.62	-0.771
-0.62	0.771
-0.62	0.772
-0.619	-0.772
-0.619	0.772
-0.618	-0.773
-0.618	0.773
-0.617	-0.774
-0.617	-0.773
-0.617	0.773
-0.617	0.774
-0.616	-0.774
-0.616	0.774
-0.615	-0.775
-0.615	0.775
-0.614	-0.776
-0.614	0.776
-0.613	-0.777
-0.613	-0.776
-0.613	0.776
-0.613	0.777
-0.612	-0.777
-0.612	0.777
-0.611	-0.778
-0.611	0.778
-0.61	-0.779
-0.61	-0.778
-0.61	0.778
-0.61	0.779
-0.609	-0.779
-0.609	0.779
-0.608	-0.78
-0.608	0.78
-0.607	-0.781
-0.607	0.781
-0.606	-0.782
-0.606	-0.781
-0.606	0.781
-0.606	0.782
-0.605	-0.782
-0.605	0.782
-0.604	-0.783
-0.604	0.783
-0.603	-0.784
-0.603	-0.783
-0.603	0.783
-0.603	0.784
-0.602	-0.784
-0.602	0.784
-0.601	-0.785
-0.601	0.785
-0.6	-0.786
-0.6	0.786
-0.599	-0.787
-0.599	-0.786
-0.599	0.786
-0.599	0.787
-0.598	-0.787
-0.598	0.787
-0.597	-0.788
-0.597	0.788
-0.596	-0.789
-0.596	-0.788
-0.596	0.788
-0.596	0.789
-0.595	-0.789
-0.595	0.789
-0.594	-0.79
-0.594	0.79
-0.593	-0.791
-0.593	0.791
-0.592	-0.792
-0.592	-0.791
-0.592	0.791
-0.592	0.792
-0.591	-0.792
-0.591	0.792
-0.59	-0.793
-0.59	0.793
-0.589	-0.794
-0.589	-0.793
-0.589	0.793
-0.589	0.794
-0.588	-0.794
-0.588	0.794
-0.587	-0.795
-0.587	0.795
-0.586	-0.796
-0.586	0.796
-0.585	-0.797
-0.585	-0.796
-0.585	0.796
-0.585	0.797
-0.584	-0.797
-0.584	0.797
-0.583	-0.798
-0.583	0.798
-0.582	-0.799
-0.582	-0.798
-0.582	0.798
-0.582	0.799
-0.581	-0.799
-0.581	0.799
-0.58	-0.8
-0.58	0.8
-0.579	-0.801
-0.579	0.801
-0.578	-0.802
-0.578	-0.801
-0.578	0.801
-0.578	0.802
-0.577	-0.802
-0.577	0.802
-0.576	-0.803
-0.576	0.803
-0.575	-0.804
-0.575	-0.803
-0.575	0.803
-0.575	0.804
-0.574	-0.804
-0.574	0.804
-0.573	-0.805
-0.573	0.805
-0.572	-0.806
-0.572	0.806
-0.571	-0.807
-0.571	-0.806
-0.571	0.806
-0.571	0.807
-0.57	-0.807
-0.57	0.807
-0.569	-0.808
-0.569	0.808
-0.568	-0.809
-0.568	-0.808
-0.568	0.808
-0.568	0.809
-0.567	-0.809
-0.567	0.809
-0.566	-0.81
-0.566	0.81
-0.565	-0.811
-0.565	0.811
-0.564	-0.812
-0.564	-0.811
-0.564	0.811
-0.564	0.812
-0.563	-0.812
-0.563	0.812
-0.562	-0.813
-0.562	0.813
-0.561	-0.814
-0.561	-0.813
-0.561	0.813
-0.561	0.814
-0.56	-0.814
-0.56	0.814
-0.559	-0.815
-0.559	0.815
-0.558	-0.816
-0.558	0.816
-0.557	-0.817
-0.557	-0.816
-0.557	0.816
-0.557	0.817
-0.556	-0.817
-0.556	0.817
-0.555	-0.818
-0.555	0.818
-0.554	-0.819
-0.554	-0.818
-0.554	0.818
-0.554	0.819
-0.553	-0.819
-0.553	0.819
-0.552	-0.82
-0.552	0.82
-0.551	-0.821
-0.551	0.821
-0.55	-0.822
-0.55	-0.821
-0.55	0.821
-0.55	0.822
-0.549	-0.822
-0.549	0.822
-0.548	-0.823
-0.548	0.823
-0.547	-0.824
-0.547	-0.823
-0.547	0.823
-0.547	0.824
-0.546	-0.824
-0.546	0.824
-0.545	-0.825
-0.545	0.825
-0.544	-0.826
-0.544	0.826
-0.543	-0.827
-0.543	-0.826
-0.543	0.826
-0.543	0.827
-0.542	-0.827
-0.542	0.827
-0.541	-0.828
-0.541	0.828
-0.54	-0.829
-0.54	-0.828
-0.54	0.828
-0.54	0.829
-0.539	-0.829
-0.539	0.829
-0.538	-0.83
-0.538	0.83
-0.537	-0.831
-0.537	0.831
-0.536	-0.832
-0.536	-0.831
-0.536	0.831
-0.536	0.832
-0.535	-0.832
-0.535	0.832
-0.534	-0.833
-0.534	0.833
-0.533	-0.834
-0.533	-0.833
-0.533	0.833
-0.533	0.834
-0.532	-0.834
-0.532	0.834
-0.531	-0.835
-0.531	0.835
-0.53	-0.836
-0.53	0.836
-0.529	-0.837
-0.529	-0.836
-0.529	0.836
-0.529	0.837
-0.528	-0.837
-0.528	0.837
-0.527	-0.838
-0.527	0.838
-0.526	-0.839
-0.526	-0.838
-0.526	0.838
-0.526	0.839
-0.525	-0.839
-0.525	0.839
-0.524	-0.84
-0.524	0.84
-0.523	-0.841
-0.523	0.841
-0.522	-0.842
-0.522	-0.841
-0.522	0.841
-0.522	0.842
-0.521	-0.842
-0.521	0.842
-0.52	-0.843
-0.52	0.843
-0.519	-0.844
-0.519	-0.843
-0.519	0.843
-0.519	0.844
-0.518	-0.844
-0.518	0.844
-0.517	-0.845
-0.517	0.845
-0.516	-0.846
-0.516	0.846
-0.515	-0.847
-0.515	-0.846
-0.515	0.846
-0.515	0.847
-0.514	-0.847
-0.514	0.847
-0.513	-0.848
-0.513	0.848
-0.512	-0.849
-0.512	-0.848
-0.512	0.848
-0.512	0.849
-0.511	-0.849
-0.511	0.849
-0.51	-0.85
-0.51	0.85
-0.509	-0.851
-0.509	0.851
-0.508	-0.852
-0.508	-0.851
-0.508	0.851
-0.508	0.852
-0.507	-0.852
-0.507	0.852
-0.506	-0.853
-0.506	0.853
-0.505	-0.854
-0.505	-0.853
-0.505	0.853
-0.505	0.854
-0.504	-0.854
-0.504	0.854
-0.503	-0.855
-0.503	0.855
-0.502	-0.856
-0.502	0.856
-0.501	-0.857
-0.501	-0.856
-0.501	0.856
-0.501	0.857
-0.5	-0.857
-0.5	0.857
-0.499	-0.858
-0.499	0.858
-0.498	-0.859
-0.498	-0.858
-0.498	0.858
-0.498	0.859
-0.497	-0.859
-0.497	0.859
-0.496	-0.86
-0.496	0.86
-0.495	-0.861
-0.495	0.861
-0.494	-0.862
-0.494	-0.861
-0.494	0.861
-0.494	0.862
-0.493	-0.862
-0.493	0.862
-0.492	-0.863
-0.492	0.863
-0.491	-0.864
-0.491	-0.863
-0.491	0.863
-0.491	0.864
-0.49	-0.864
-0.49	0.864
-0.489	-0.865
-0.489	0.865
-0.488	-0.866
-0.488	0.866
-0.487	-0.867
-0.487	-0.866
-0.487	0.866
-0.487	0.867
-0.486	-0.867
-0.486	0.867
-0.485	-0.868
-0.485	0.868
-0.484	-0.869
-0.484	-0.868
-0.484	0.868
-0.484	0.869
-0.483	-0.869
-0.483	0.869
-0.482	-0.87
-0.482	0.87
-0.481	-0.871
-0.481	0.871
-0.48	-0.872
-0.48	-0.871
-0.48	0.871
-0.48	0.872
-0.479	-0.872
-0.479	0.872
-0.478	-0.873
-0.478	0.873
-0.477	-0.874
-0.477	-0.873
-0.477	0.873
-0.477	0.874
-0.476	-0.874
-0.476	0.874
-0.475	-0.875
-0.475	0.875
-0.474	-0.876
-0.474	0.876
-0.473	-0.877
-0.473	-0.876
-0.473	0.876
-0.473	0.877
-0.472	-0.877
-0.472	0.877
-0.471	-0.878
-0.471	0.878
-0.47	-0.879
-0.47	-0.878
-0.47	0.878
-0.47	0.879
-0.469	-0.879
-0.469	0.879
-0.468	-0.88
-0.468	0.88
-0.467	-0.881
-0.467	0.881
-0.466	-0.882
-0.466	-0.881
-0.466	0.881
-0.466	0.882
-0.465	-0.882
-0.465	0.882
-0.464	-0.883
-0.464	0.883
-0.463	-0.884
-0.463	-0.883
-0.463	0.883
-0.463	0.884
-0.462	-0.884
-0.462	0.884
-0.461	-0.885
-0.461	0.885
-0.46	-0.886
-0.46	0.886
-0.459	-0.887
-0.459	-0.886
-0.459	0.886
-0.459	0.887
-0.458	-0.887
-0.458	0.887
-0.457	-0.888
-0.457	0.888
-0.456	-0.889
-0.456	-0.888
-0.456	0.888
-0.456	0.889
-0.455	-0.889
-0.455	0.889
-0.454	-0.89
-0.454	0.89
-0.453	-0.89
-0.453	0.89
-0.452	-0.891
-0.452	0.891
-0.451	-0.891
-0.451	0.891
-0.45	-0.892
-0.45	0.892
-0.449	-0.893
-0.449	0.893
-0.448	-0.893
-0.448	0.893
-0.447	-0.894
-0.447	0.894
-0.446	-0.894
-0.446	0.894
-0.445	-0.895
-0.445	0.895
-0.444	-0.895
-0.444	0.895
-0.443	-0.896
-0.443	0.896
-0.442	-0.896
-0.442	0.896
-0.441	-0.896
-0.441	0.896
-0.44	-0.897
-0.44	0.897
-0.439	-0.897
-0.439	0.897
-0.438	-0.897
-0.438	0.897
-0.437	-0.898
-0.437	0.898
-0.436	-0.898
-0.436	0.898
-0.435	-0.898
-0.435	0.898
-0.434	-0.899
-0.434	0.899
-0.433	-0.899
-0.433	0.899
-0.432	-0.899
-0.432	0.899
-0.431	-0.9
-0.431	0.9
-0.43	-0.9
-0.43	0.9
-0.429	-0.9
-0.429	0.9
-0.428	-0.901
-0.428	0.901
-0.427	-0.901
-0.427	0.901
-0.426	-0.901
-0.426	0.901
-0.425	-0.902
-0.425	0.902
-0.424	-0.902
-0.424	0.902
-0.423	-0.902
-0.423	0.902
-0.422	-0.903
-0.422	0.903
-0.421	-0.903
-0.421	0.903
-0.42	-0.903
-0.42	0.903
-0.419	-0.904
-0.419	0.904
-0.418	-0.904
-0.418	0.904
-0.417	-0.904
-0.417	0.904
-0.416	-0.905
-0.416	0.905
-0.415	-0.905
-0.415	0.905
-0.414	-0.905
-0.414	0.905
-0.413	-0.906
-0.413	0.906
-0.412	-0.906
-0.412	0.906
-0.411	-0.906
-0.411	0.906
-0.41	-0.907
-0.41	0.907
-0.409	-0.907
-0.409	0.907
-0.408	-0.907
-0.408	0.907
-0.407	-0.908
-0.407	0.908
-0.406	-0.908
-0.406	0.908
-0.405	-0.908
-0.405	0.908
-0.404	-0.909
-0.404	0.909
-0.403	-0.909
-0.403	0.909
-0.402	-0.909
-0.402	0.909
-0.401	-0.91
-0.401	0.91
-0.4	-0.91
-0.4	0.91
-0.399	-0.91
-0.399	0.91
-0.398	-0.911
-0.398	0.911
-0.397	-0.911
-0.397	0.911
-0.396	-0.911
-0.396	0.911
-0.395	-0.912
-0.395	0.912
-0.394	-0.912
-0.394	0.912
-0.393	-0.912
-0.393	0.912
-0.392	-0.913
-0.392	0.913
-0.391	-0.913
-0.391	0.913
-0.39	-0.913
-0.39	0.913
-0.389	-0.914
-0.389	0.914
-0.388	-0.914
-0.388	0.914
-0.387	-0.914
-0.387	0.914
-0.386	-0.915
-0.386	0.915
-0.385	-0.915
-0.385	0.915
-0.384	-0.915
-0.384	0.915
-0.383	-0.916
-0.383	0.916
-0.382	-0.916
-0.382	0.916
-0.381	-0.916
-0.381	0.916
-0.38	-0.917
-0.38	0.917
-0.379	-0.917
-0.379	0.917
-0.378	-0.917
-0.378	0.917
-0.377	-0.918
-0.377	0.918
-0.376	-0.918
-0.376	0.918
-0.375	-0.918
-0.375	0.918
-0.374	-0.919
-0.374	0.919
-0.373	-0.919
-0.373	0.919
-0.372	-0.919
-0.372	0.919
-0.371	-0.92
-0.371	0.92
-0.37	-0.92
-0.37	0.92
-0.369	-0.92
-0.369	0.92
-0.368	-0.921
-0.368	0.921
-0.367	-0.921
-0.367	0.921
-0.366	-0.921
-0.366	0.921
-0.365	-0.922
-0.365	0.922
-0.364	-0.922
-0.364	0.922
-0.363	-0.922
-0.363	0.922
-0.362	-0.923
-0.362	0.923
-0.361	-0.923
-0.361	0.923
-0.36	-0.923
-0.36	0.923
-0.359	-0.924
-0.359	0.924
-0.358	-0.924
-0.358	0.924
-0.357	-0.924
-0.357	0.924
-0.356	-0.925
-0.356	0.925
-0.355	-0.925
-0.355	0.925
-0.354	-0.925
-0.354	0.925
-0.353	-0.926
-0.353	0.926
-0.352	-0.926
-0.352	0.926
-0.351	-0.926
-0.351	0.926
-0.35	-0.927
-0.35	0.927
-0.349	-0.927
-0.349	0.927
-0.348	-0.927
-0.348	0.927
-0.347	-0.928
-0.347	0.928
-0.346	-0.928
-0.346	0.928
-0.345	-0.928
-0.345	0.928
-0.344	-0.929
-0.344	0.929
-0.343	-0.929
-0.343	0.929
-0.342	-0.929
-0.342	0.929
-0.341	-0.93
-0.341	0.93
-0.34	-0.93
-0.34	0.93
-0.339	-0.93
-0.339	0.93
-0.338	-0.931
-0.338	0.931
-0.337	-0.931
-0.337	0.931
-0.336	-0.931
-0.336	0.931
-0.335	-0.932
-0.335	0.932
-0.334	-0.932
-0.334	0.932
-0.333	-0.932
-0.333	0.932
-0.332	-0.933
-0.332	0.933
-0.331	-0.933
-0.331	0.933
-0.33	-0.933
-0.33	0.933
-0.329	-0.934
-0.329	0.934
-0.328	-0.934
-0.328	0.934
-0.327	-0.934
-0.327	0.934
-0.326	-0.935
-0.326	0.935
-0.325	-0.935
-0.325	0.935
-0.324	-0.935
-0.324	0.935
-0.323	-0.936
-0.323	0.936
-0.322	-0.936
-0.322	0.936
-0.321	-0.936
-0.321	0.936
-0.32	-0.937
-0.32	0.937
-0.319	-0.937
-0.319	0.937
-0.318	-0.937
-0.318	0.937
-0.317	-0.938
-0.317	0.938
-0.316	-0.938
-0.316	0.938
-0.315	-0.938
-0.315	0.938
-0.314	-0.939
-0.314	0.939
-0.313	-0.939
-0.313	0.939
-0.312	-0.939
-0.312	0.939
-0.311	-0.94
-0.311	0.94
-0.31	-0.94
-0.31	0.94
-0.309	-0.94
-0.309	0.94
-0.308	-0.941
-0.308	0.941
-0.307	-0.941
-0.307	0.941
-0.306	-0.941
-0.306	0.941
-0.305	-0.942
-0.305	0.942
-0.304	-0.942
-0.304	0.942
-0.303	-0.942
-0.303	0.942
-0.302	-0.943
-0.302	0.943
-0.301	-0.943
-0.301	0.943
-0.3	-0.943
-0.3	0.943
-0.299	-0.944
-0.299	0.944
-0.298	-0.944
-0.298	0.944
-0.297	-0.944
-0.297	0.944
-0.296	-0.945
-0.296	0.945
-0.295	-0.945
-0.295	0.945
-0.294	-0.945
-0.294	0.945
-0.293	-0.946
-0.293	0.946
-0.292	-0.946
-0.292	0.946
-0.291	-0.946
-0.291	0.946
-0.29	-0.947
-0.29	0.947
-0.289	-0.947
-0.289	0.947
-0.288	-0.947
-0.288	0.947
-0.287	-0.948
-0.287	0.948
-0.286	-0.948
-0.286	0.948
-0.285	-0.948
-0.285	0.948
-0.284	-0.949
-0.284	0.949
-0.283	-0.949
-0.283	0.949
-0.282	-0.949
-0.282	0.949
-0.281	-0.95
-0.281	0.95
-0.28	-0.95
-0.28	0.95
-0.279	-0.95
-0.279	0.95
-0.278	-0.951
-0.278	0.951
-0.277	-0.951
-0.277	0.951
-0.276	-0.951
-0.276	0.951
-0.275	-0.952
-0.275	0.952
-0.274	-0.952
-0.274	0.952
-0.273	-0.952
-0.273	0.952
-0.272	-0.953
-0.272	0.953
-0.271	-0.953
-0.271	0.953
-0.27	-0.953
-0.27	0.953
-0.269	-0.954
-0.269	0.954
-0.268	-0.954
-0.268	0.954
-0.267	-0.954
-0.267	0.954
-0.266	-0.955
-0.266	0.955
-0.265	-0.955
-0.265	0.955
-0.264	-0.955
-0.264	0.955
-0.263	-0.956
-0.263	0.956
-0.262	-0.956
-0.262	0.956
-0.261	-0.956
-0.261	0.956
-0.26	-0.957
-0.26	0.957
-0.259	-0.957
-0.259	0.957
-0.258	-0.957
-0.258	0.957
-0.257	-0.958
-0.257	0.958
-0.256	-0.958
-0.256	0.958
-0.255	-0.958
-0.255	0.958
-0.254	-0.959
-0.254	0.959
-0.253	-0.959
-0.253	0.959
-0.252	-0.959
-0.252	0.959
-0.251	-0.96
-0.251	0.96
-0.25	-0.96
-0.25	0.96
-0.249	-0.96
-0.249	0.96
-0.248	-0.961
-0.248	0.961
-0.247	-0.961
-0.247	0.961
-0.246	-0.961
-0.246	0.961
-0.245	-0.962
-0.245	0.962
-0.244	-0.962
-0.244	0.962
-0.243	-0.962
-0.243	0.962
-0.242	-0.963
-0.242	0.963
-0.241	-0.963
-0.241	0.963
-0.24	-0.963
-0.24	0.963
-0.239	-0.964
-0.239	0.964
-0.238	-0.964
-0.238	0.964
-0.237	-0.964
-0.237	0.964
-0.236	-0.965
-0.236	0.965
-0.235	-0.965
-0.235	0.965
-0.234	-0.965
-0.234	0.965
-0.233	-0.966
-0.233	0.966
-0.232	-0.966
-0.232	0.966
-0.231	-0.966
-0.231	0.966
-0.23	-0.967
-0.23	0.967
-0.229	-0.967
-0.229	0.967
-0.228	-0.967
-0.228	0.967
-0.227	-0.968
-0.227	0.968
-0.226	-0.968
-0.226	0.968
-0.225	-0.968
-0.225	0.968
-0.224	-0.969
-0.224	0.969
-0.223	-0.969
-0.223	0.969
-0.222	-0.969
-0.222	0.969
-0.221	-0.969
-0.221	0.969
-0.22	-0.969
-0.22	0.969
-0.219	-0.969
-0.219	0.969
-0.218	-0.97
-0.218	0.97
-0.217	-0.97
-0.217	0.97
-0.216	-0.97
-0.216	0.97
-0.215	-0.97
-0.215	0.97
-0.214	-0.97
-0.214	0.97
-0.213	-0.97
-0.213	0.97
-0.212	-0.97
-0.212	0.97
-0.211	-0.97
-0.211	0.97
-0.21	-0.97
-0.21	0.97
-0.209	-0.971
-0.209	0.971
-0.208	-0.971
-0.208	0.971
-0.207	-0.971
-0.207	0.971
-0.206	-0.971
-0.206	0.971
-0.205	-0.971
-0.205	0.971
-0.204	-0.971
-0.204	0.971
-0.203	-0.971
-0.203	0.971
-0.202	-0.971
-0.202	0.971
-0.201	-0.971
-0.201	0.971
-0.2	-0.972
-0.2	0.972
-0.199	-0.972
-0.199	0.972
-0.198	-0.972
-0.198	0.972
-0.197	-0.972
-0.197	0.972
-0.196	-0.972
-0.196	0.972
-0.195	-0.972
-0.195	0.972
-0.194	-0.972
-0.194	0.972
-0.193	-0.972
-0.193	0.972
-0.192	-0.972
-0.192	0.972
-0.191	-0.973
-0.191	0.973
-0.19	-0.973
-0.19	0.973
-0.189	-0.973
-0.189	0.973
-0.188	-0.973
-0.188	0.973
-0.187	-0.973
-0.187	0.973
-0.186	-0.973
-0.186	0.973
-0.185	-0.973
-0.185	0.973
-0.184	-0.973
-0.184	0.973
-0.183	-0.973
-0.183	0.973
-0.182	-0.974
-0.182	0.974
-0.181	-0.974
-0.181	0.974
-0.18	-0.974
-0.18	0.974
-0.179	-0.974
-0.179	0.974
-0.178	-0.974
-0.178	0.974
-0.177	-0.974
-0.177	0.974
-0.176	-0.974
-0.176	0.974
-0.175	-0.974
-0.175	0.974
-0.174	-0.974
-0.174	0.974
-0.173	-0.975
-0.173	0.975
-0.172	-0.975
-0.172	0.975
-0.171	-0.975
-0.171	0.975
-0.17	-0.975
-0.17	0.975
-0.169	-0.975
-0.169	0.975
-0.168	-0.975
-0.168	0.975
-0.167	-0.975
-0.167	0.975
-0.166	-0.975
-0.166	0.975
-0.165	-0.975
-0.165	0.975
-0.164	-0.976
-0.164	0.976
-0.163	-0.976
-0.163	0.976
-0.162	-0.976
-0.162	0.976
-0.161	-0.976
-0.161	0.976
-0.16	-0.976
-0.16	0.976
-0.159	-0.976
-0.159	0.976
-0.158	-0.976
-0.158	0.976
-0.157	-0.976
-0.157	0.976
-0.156	-0.976
-0.156	0.976
-0.155	-0.977
-0.155	0.977
-0.154	-0.977
-0.154	0.977
-0.153	-0.977
-0.153	0.977
-0.152	-0.977
-0.152	0.977
-0.151	-0.977
-0.151	0.977
-0.15	-0.977
-0.15	0.977
-0.149	-0.977
-0.149	0.977
-0.148	-0.977
-0.148	0.977
-0.147	-0.977
-0.147	0.977
-0.146	-0.978
-0.146	0.978
-0.145	-0.978
-0.145	0.978
-0.144	-0.978
-0.144	0.978
-0.143	-0.978
-0.143	0.978
-0.142	-0.978
-0.142	0.978
-0.141	-0.978
-0.141	0.978
-0.14	-0.978
-0.14	0.978
-0.139	-0.978
-0.139	0.978
-0.138	-0.978
-0.138	0.978
-0.137	-0.979
-0.137	0.979
-0.136	-0.979
-0.136	0.979
-0.135	-0.979
-0.135	0.979
-0.134	-0.979
-0.134	0.979
-0.133	-0.979
-0.133	0.979
-0.132	-0.979
-0.132	0.979
-0.131	-0.979
-0.131	0.979
-0.13	-0.979
-0.13	0.979
-0.129	-0.979
-0.129	0.979
-0.128	-0.98
-0.128	0.98
-0.127	-0.98
-0.127	0.98
-0.126	-0.98
-0.126	0.98
-0.125	-0.98
-0.125	0.98
-0.124	-0.98
-0.124	0.98
-0.123	-0.98
-0.123	0.98
-0.122	-0.98
-0.122	0.98
-0.121	-0.98
-0.121	0.98
-0.12	-0.98
-0.12	0.98
-0.119	-0.981
-0.119	0.981
-0.118	-0.981
-0.118	0.981
-0.117	-0.981
-0.117	0.981
-0.116	-0.981
-0.116	0.981
-0.115	-0.981
-0.115	0.981
-0.114	-0.981
-0.114	0.981
-0.113	-0.981
-0.113	0.981
-0.112	-0.981
-0.112	0.981
-0.111	-0.981
-0.111	0.981
-0.11	-0.982
-0.11	0.982
-0.109	-0.982
-0.109	0.982
-0.108	-0.982
-0.108	0.982
-0.107	-0.982
-0.107	0.982
-0.106	-0.982
-0.106	0.982
-0.105	-0.982
-0.105	0.982
-0.104	-0.982
-0.104	0.982
-0.103	-0.982
-0.103	0.982
-0.102	-0.982
-0.102	0.982
-0.101	-0.983
-0.101	0.983
-0.1	-0.983
-0.1	0.983
-0.099	-0.983
-0.099	0.983
-0.098	-0.983
-0.098	0.983
-0.097	-0.983
-0.097	0.983
-0.096	-0.983
-0.096	0.983
-0.095	-0.983
-0.095	0.983
-0.094	-0.983
-0.094	0.983
-0.093	-0.983
-0.093	0.983
-0.092	-0.984
-0.092	0.984
-0.091	-0.984
-0.091	0.984
-0.09	-0.984
-0.09	0.984
-0.089	-0.984
-0.089	0.984
-0.088	-0.984
-0.088	0.984
-0.087	-0.984
-0.087	0.984
-0.086	-0.984
-0.086	0.984
-0.085	-0.984
-0.085	0.984
-0.084	-0.984
-0.084	0.984
-0.083	-0.985
-0.083	0.985
-0.082	-0.985
-0.082	0.985
-0.081	-0.985
-0.081	0.985
-0.08	-0.985
-0.08	0.985
-0.079	-0.985
-0.079	0.985
-0.078	-0.985
-0.078	0.985
-0.077	-0.985
-0.077	0.985
-0.076	-0.985
-0.076	0.985
-0.075	-0.985
-0.075	0.985
-0.074	-0.986
-0.074	0.986
-0.073	-0.986
-0.073	0.986
-0.072	-0.986
-0.072	0.986
-0.071	-0.986
-0.071	0.986
-0.07	-0.986
-0.07	0.986
-0.069	-0.986
-0.069	0.986
-0.068	-0.986
-0.068	0.986
-0.067	-0.986
-0.067	0.986
-0.066	-0.986
-0.066	0.986
-0.065	-0.987
-0.065	0.987
-0.064	-0.987
-0.064	0.987
-0.063	-0.987
-0.063	0.987
-0.062	-0.987
-0.062	0.987
-0.061	-0.987
-0.061	0.987
-0.06	-0.987
-0.06	0.987
-0.059	-0.987
-0.059	0.987
-0.058	-0.987
-0.058	0.987
-0.057	-0.987
-0.057	0.987
-0.056	-0.988
-0.056	0.988
-0.055	-0.988
-0.055	0.988
-0.054	-0.988
