-0.987	-0.12
-0.987	-0.119
-0.987	-0.118
-0.987	-0.117
-0.987	-0.116
-0.987	-0.115
-0.987	-0.114
-0.987	-0.113
-0.987	-0.112
-0.987	-0.111
-0.987	-0.11
-0.987	-0.109
-0.987	-0.108
-0.987	-0.107
-0.987	-0.106
-0.987	-0.105
-0.987	-0.104
-0.987	-0.103
-0.987	-0.102
-0.987	-0.101
-0.987	-0.1
-0.987	-0.099
-0.987	-0.098
-0.987	-0.097
-0.987	-0.096
-0.987	-0.095
-0.987	-0.094
-0.987	-0.093
-0.987	-0.092
-0.987	-0.091
-0.987	-0.09
-0.987	-0.089
-0.987	-0.088
-0.987	-0.087
-0.987	-0.086
-0.987	-0.085
-0.987	-0.084
-0.987	-0.083
-0.987	-0.082
-0.987	-0.081
-0.987	-0.08
-0.987	-0.079
-0.987	-0.078
-0.987	-0.077
-0.987	-0.076
-0.987	-0.075
-0.987	-0.074
-0.987	-0.073
-0.987	-0.072
-0.987	-0.071
-0.987	-0.07
-0.987	-0.069
-0.987	-0.068
-0.987	-0.067
-0.987	-0.066
-0.987	-0.065
-0.987	-0.064
-0.987	-0.063
-0.987	-0.062
-0.987	-0.061
-0.987	-0.06
-0.987	-0.059
-0.987	-0.058
-0.987	-0.057
-0.987	-0.056
-0.987	-0.055
-0.987	-0.054
-0.987	-0.053
-0.987	-0.052
-0.987	-0.051
-0.987	-0.05
-0.987	-0.049
-0.987	-0.048
-0.987	-0.047
-0.987	-0.046
-0.987	-0.045
-0.987	-0.044
-0.987	-0.043
-0.987	-0.042
-0.987	-0.041
-0.987	-0.04
-0.987	-0.039
-0.987	-0.038
-0.987	-0.037
-0.987	-0.036
-0.987	-0.035
-0.987	-0.034
-0.987	-0.033
-0.987	-0.032
-0.987	-0.031
-0.987	-0.03
-0.987	-0.029
-0.987	-0.028
-0.987	-0.027
-0.987	-0.026
-0.987	-0.025
-0.987	-0.024
-0.987	-0.023
-0.987	-0.022
-0.987	-0.021
-0.987	-0.02
-0.987	-0.019
-0.987	-0.018
-0.987	-0.017
-0.987	-0.016
-0.987	-0.015
-0.987	-0.014
-0.987	-0.013
-0.987	-0.012
-0.987	-0.011
-0.987	-0.01
-0.987	-0.009
-0.987	-0.008
-0.987	-0.007
-0.987	-0.006
-0.987	-0.005
-0.987	-0.004
-0.987	-0.003
-0.987	-0.002
-0.987	-0.001
-0.987	0.0
-0.987	0.001
-0.987	0.002
-0.987	0.003
-0.987	0.004
-0.987	0.005
-0.987	0.006
-0.987	0.007
-0.987	0.008
-0.987	0.009
-0.987	0.01
-0.987	0.011
-0.987	0.012
-0.987	0.013
-0.987	0.014
-0.987	0.015
-0.987	0.016
-0.987	0.017
-0.987	0.018
-0.987	0.019
-0.987	0.02
-0.987	0.021
-0.987	0.022
-0.987	0.023
-0.987	0.024
-0.987	0.025
-0.987	0.026
-0.987	0.027
-0.987	0.028
-0.987	0.029
-0.987	0.03
-0.987	0.031
-0.987	0.032
-0.987	0.033
-0.987	0.034
-0.987	0.035
-0.987	0.036
-0.987	0.037
-0.987	0.038
-0.987	0.039
-0.987	0.04
-0.987	0.041
-0.987	0.042
-0.987	0.043
-0.987	0.044
-0.987	0.045
-0.987	0.046
-0.987	0.047
-0.987	0.048
-0.987	0.049
-0.987	0.05
-0.987	0.051
-0.987	0.052
-0.987	0.053
-0.987	0.054
-0.987	0.055
-0.987	0.056
-0.987	0.057
-0.987	0.058
-0.987	0.059
-0.987	0.06
-0.987	0.061
